Start_Date	End_Date	Carrier	Volume
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	C & J Bus Lines	0
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	Coach USA	92
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	DeCamp	16
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	Greyhound	60
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	HCEE - Community	94
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	Lakeland	20
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	Martz	17
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	NJ Transit	2126
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	Peter Pan_Bonanza	31
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	Trailways	17
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	TransBridge	14
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	Academy	35
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	C & J Bus Lines	0
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	Coach USA	94
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	DeCamp	16
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	Greyhound	61
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	HCEE - Community	93
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	Lakeland	20
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	Martz	18
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	NJ Transit	2126
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	Peter Pan_Bonanza	34
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	Trailways	19
2021-07-05 00:00:00.000	2021-07-09 00:00:00.000	TransBridge	14
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	Academy	35
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	C & J Bus Lines	0
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	Coach USA	95
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	DeCamp	16
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	Greyhound	61
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	HCEE - Community	93
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	Lakeland	20
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	Martz	17
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	NJ Transit	2135
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	Peter Pan_Bonanza	34
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	Trailways	17
2021-07-12 00:00:00.000	2021-07-16 00:00:00.000	TransBridge	14
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	Academy	35
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	C & J Bus Lines	0
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	Coach USA	99
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	DeCamp	16
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	Greyhound	58
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	HCEE - Community	89
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	Lakeland	20
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	Martz	17
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	NJ Transit	2097
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	Peter Pan_Bonanza	25
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	Trailways	17
2021-07-19 00:00:00.000	2021-07-23 00:00:00.000	TransBridge	15
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	Academy	35
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	C & J Bus Lines	0
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	Coach USA	101
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	DeCamp	16
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	Greyhound	59
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	HCEE - Community	94
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	Lakeland	20
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	Martz	17
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	NJ Transit	2080
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	Peter Pan_Bonanza	25
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	Trailways	17
2021-07-26 00:00:00.000	2021-07-30 00:00:00.000	TransBridge	15
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	Academy	36
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	C & J Bus Lines	0
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	Coach USA	102
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	DeCamp	16
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	Greyhound	60
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	HCEE - Community	94
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	Lakeland	20
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	Martz	17
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	NJ Transit	2116
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	Peter Pan_Bonanza	25
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	Trailways	18
2021-08-02 00:00:00.000	2021-08-06 00:00:00.000	TransBridge	15
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	Academy	35
2021-08-09 00:00:00.000	2021-08-13 00:00:00.000	C & J Bus Lines	0
