Date,Year,Month,Week,Temp_Max_Mean,Precip_Sum_mm,Forecasted_Traffic,Facility
2027-03-14,2027,3,10,16.842857142857145,18.5,264244.1943519823,All Facilities
2027-03-21,2027,3,11,16.842857142857145,18.5,265796.7709063996,All Facilities
2027-03-28,2027,3,12,16.842857142857145,18.5,269633.63137537445,All Facilities
2027-04-04,2027,4,13,16.842857142857145,18.5,275138.7328411781,All Facilities
2027-04-11,2027,4,14,16.842857142857145,18.5,276694.4773531734,All Facilities
2027-04-18,2027,4,15,16.842857142857145,18.5,281145.76938443736,All Facilities
2027-04-25,2027,4,16,16.842857142857145,18.5,283000.04490163387,All Facilities
2027-05-02,2027,5,17,16.842857142857145,18.5,286470.612788626,All Facilities
2027-05-09,2027,5,18,16.842857142857145,18.5,288658.67977013264,All Facilities
2027-05-16,2027,5,19,16.842857142857145,18.5,289771.5221739212,All Facilities
2027-05-23,2027,5,20,16.842857142857145,18.5,292270.12834467913,All Facilities
2027-05-30,2027,5,21,16.842857142857145,18.5,291915.1173411441,All Facilities
