Facility,Direction,Freeflow,IsHighCongestion,Month,Year,Avg_Speed,Delta,Temp_Max_Mean_2025,Temp_Min_Mean_2025,Precip_Sum_mm_2025,Snow_Sum_cm_2025
GB,WB,44.9,0,5,2024,47.2,2.3,20.961290322580645,12.583870967741936,201.1,0.0
GB,EB,44.9,0,5,2024,44.0,-0.9,20.961290322580645,12.583870967741936,201.1,0.0
GWB,WB,45.9,1,5,2024,31.8,-14.1,20.961290322580645,12.583870967741936,201.1,0.0
GWB,EB,46.1,1,5,2024,19.0,-27.0,20.961290322580645,12.583870967741936,201.1,0.0
HT,WB,32.0,1,5,2024,20.8,-11.2,20.961290322580645,12.583870967741936,201.1,0.0
HT,EB,34.9,1,5,2024,23.9,-11.0,20.961290322580645,12.583870967741936,201.1,0.0
LT,WB,40.0,1,5,2024,22.9,-17.1,20.961290322580645,12.583870967741936,201.1,0.0
LT,EB,32.9,1,5,2024,14.6,-18.3,20.961290322580645,12.583870967741936,201.1,0.0
OBX,WB,44.9,0,5,2024,46.8,1.9,20.961290322580645,12.583870967741936,201.1,0.0
OBX,EB,47.9,0,5,2024,48.6,0.7,20.961290322580645,12.583870967741936,201.1,0.0
BB,WB,45.0,0,4,2024,48.0,3.0,16.943333333333335,7.176666666666667,73.1,1.33
BB,EB,44.9,0,4,2024,46.9,2.0,16.943333333333335,7.176666666666667,73.1,1.33
GB,WB,44.9,0,4,2024,46.2,1.3,16.943333333333335,7.176666666666667,73.1,1.33
GB,EB,44.9,0,4,2024,42.6,-2.3,16.943333333333335,7.176666666666667,73.1,1.33
GWB,WB,45.9,1,4,2024,32.4,-13.5,16.943333333333335,7.176666666666667,73.1,1.33
GWB,EB,46.1,1,4,2024,21.4,-24.7,16.943333333333335,7.176666666666667,73.1,1.33
HT,WB,32.0,0,4,2024,22.6,-9.4,16.943333333333335,7.176666666666667,73.1,1.33
HT,EB,34.9,0,4,2024,26.6,-8.3,16.943333333333335,7.176666666666667,73.1,1.33
LT,WB,40.0,1,4,2024,24.6,-15.4,16.943333333333335,7.176666666666667,73.1,1.33
LT,EB,32.9,1,4,2024,17.4,-15.5,16.943333333333335,7.176666666666667,73.1,1.33
OBX,WB,44.9,0,4,2024,47.3,2.4,16.943333333333335,7.176666666666667,73.1,1.33
OBX,EB,47.9,0,4,2024,49.1,1.2,16.943333333333335,7.176666666666667,73.1,1.33
BB,WB,45.0,0,3,2024,47.9,2.9,12.406451612903227,1.993548387096774,162.5,0.0
BB,EB,44.9,0,3,2024,47.2,2.3,12.406451612903227,1.993548387096774,162.5,0.0
GB,WB,44.9,0,3,2024,47.4,2.5,12.406451612903227,1.993548387096774,162.5,0.0
GB,EB,44.9,0,3,2024,41.1,-3.8,12.406451612903227,1.993548387096774,162.5,0.0
GWB,WB,45.9,1,3,2024,32.4,-13.5,12.406451612903227,1.993548387096774,162.5,0.0
GWB,EB,46.1,1,3,2024,19.8,-26.3,12.406451612903227,1.993548387096774,162.5,0.0
HT,WB,32.0,0,3,2024,22.9,-9.1,12.406451612903227,1.993548387096774,162.5,0.0
HT,EB,34.9,0,3,2024,26.6,-8.3,12.406451612903227,1.993548387096774,162.5,0.0
LT,WB,40.0,1,3,2024,24.7,-15.3,12.406451612903227,1.993548387096774,162.5,0.0
LT,EB,32.9,1,3,2024,17.6,-15.3,12.406451612903227,1.993548387096774,162.5,0.0
OBX,WB,44.9,0,3,2024,46.7,1.8,12.406451612903227,1.993548387096774,162.5,0.0
OBX,EB,47.9,0,3,2024,49.1,1.2,12.406451612903227,1.993548387096774,162.5,0.0
BB,WB,45.0,0,2,2024,47.8,2.8,4.003571428571428,-3.3428571428571425,79.4,18.41
BB,EB,44.9,0,2,2024,46.9,2.0,4.003571428571428,-3.3428571428571425,79.4,18.41
GB,WB,44.9,0,2,2024,47.3,2.4,4.003571428571428,-3.3428571428571425,79.4,18.41
GB,EB,44.9,0,2,2024,43.8,-1.1,4.003571428571428,-3.3428571428571425,79.4,18.41
GWB,WB,45.9,1,2,2024,32.2,-13.7,4.003571428571428,-3.3428571428571425,79.4,18.41
GWB,EB,46.1,1,2,2024,22.5,-23.6,4.003571428571428,-3.3428571428571425,79.4,18.41
HT,WB,32.0,0,2,2024,23.9,-8.1,4.003571428571428,-3.3428571428571425,79.4,18.41
HT,EB,34.9,0,2,2024,28.7,-6.2,4.003571428571428,-3.3428571428571425,79.4,18.41
LT,WB,40.0,1,2,2024,25.5,-14.5,4.003571428571428,-3.3428571428571425,79.4,18.41
LT,EB,32.9,1,2,2024,19.7,-13.2,4.003571428571428,-3.3428571428571425,79.4,18.41
OBX,WB,44.9,0,2,2024,47.5,2.6,4.003571428571428,-3.3428571428571425,79.4,18.41
OBX,EB,47.9,0,2,2024,49.4,1.5,4.003571428571428,-3.3428571428571425,79.4,18.41
OBX,EB,47.9,0,1,2024,48.6,0.7,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,1,2024,47.8,2.8,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,1,2024,46.4,1.5,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,1,2024,47.2,2.3,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,1,2024,46.0,1.1,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,1,2024,34.5,-11.4,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.05,1,1,2024,25.6,-20.5,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,0,1,2024,25.0,-7.0,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,0,1,2024,29.4,-5.5,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,1,2024,26.8,-13.2,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,1,2024,21.0,-11.9,1.1870967741935483,-5.361290322580646,30.3,9.17
